Review,Aspect,Sentiment
The truffle risotto was creamy and packed with flavor,Food,Positive
Our server forgot half our order and never apologized,Service,Negative
Exposed brick walls and dim candlelight made it feel intimate,Ambience,Positive
The burger was dry and clearly overcooked,Food,Negative
Host sat us immediately even though we didn't have a reservation,Service,Positive
Tables were crammed so close we could hear every neighboring conversation,Ambience,Negative
Fresh sushi rolls with perfectly seasoned rice,Food,Positive
We waited over an hour for our entrees with no update from staff,Service,Negative
Open rooftop seating with a gorgeous skyline view,Ambience,Positive
The soup was bland and clearly from a can,Food,Negative
Bartender remembered our names and our usual order,Service,Positive
The air conditioning was broken and the dining room was stifling,Ambience,Negative
Wood-fired pizza had a perfectly crispy crust,Food,Positive
Manager comped our dessert after a mix-up with the bill,Service,Positive
Flickering fluorescent lights gave the place a cafeteria feel,Ambience,Negative
The pasta was undercooked and the sauce tasted watery,Food,Negative
Waitstaff were knowledgeable about every wine pairing we asked about,Service,Positive
Soft jazz playing in the background set a relaxing mood,Ambience,Positive
Portions were tiny for the price we paid,Food,Negative
Our waiter was dismissive and seemed annoyed by our questions,Service,Negative
The patio garden was filled with fresh herbs and flowers,Ambience,Positive
Steak was cooked exactly to the temperature we requested,Food,Positive
Took fifteen minutes just to get water refilled,Service,Negative
The dining room smelled strongly of grease from the kitchen,Ambience,Negative
Decadent chocolate lava cake with a perfectly gooey center,Food,Positive
Staff checked in regularly without being intrusive,Service,Positive
Mismatched furniture gave the space a thrown-together feel,Ambience,Negative
The fish was fresh and cooked with a delicate touch,Food,Positive
Cashier short-changed us and was rude when we pointed it out,Service,Negative
Floor-to-ceiling windows let in beautiful natural light,Ambience,Positive
Fries were soggy and clearly sitting under a heat lamp,Food,Negative
Chef came out personally to check on our meal,Service,Positive
The restroom was dirty and out of soap,Ambience,Negative
Handmade dumplings bursting with flavorful broth,Food,Positive
Servers were constantly rushing us to free up the table,Service,Negative
Live acoustic music added a charming touch to dinner,Ambience,Positive
The curry was way too salty to enjoy,Food,Negative
Front desk staff were warm and made great recommendations,Service,Positive
Dim lighting made it hard to even read the menu,Ambience,Negative
Perfectly seared scallops with a delicate butter sauce,Food,Positive
Waiter mixed up our orders twice during the meal,Service,Negative
Cozy fireplace made the dining room feel warm and inviting,Ambience,Positive
The bread basket was stale and clearly not fresh,Food,Negative
Staff handled a large group reservation smoothly and efficiently,Service,Positive
Constant kitchen noise carried into the dining area,Ambience,Negative
Tender braised short ribs that fell apart with a fork,Food,Positive
We were ignored for twenty minutes before anyone took our order,Service,Negative
Tasteful minimalist decor gave the place an upscale feel,Ambience,Positive
The salad dressing was overpoweringly vinegary,Food,Negative
"Sommelier gave thoughtful, unhurried wine recommendations",Service,Positive
Outdoor heaters kept the patio comfortable even in winter,Ambience,Positive
The chicken was rubbery and clearly reheated,Food,Negative
Busser cleared plates quickly without interrupting conversation,Service,Positive
Peeling wallpaper made the entrance look run down,Ambience,Negative
"Rich, velvety tomato bisque with a perfect balance of spice",Food,Positive
Hostess gave us a table even after we arrived fifteen minutes late,Service,Positive
The noise level made it impossible to hold a conversation,Ambience,Negative
Lamb chops were seasoned beautifully and cooked medium rare,Food,Positive
Manager argued with us instead of resolving the complaint,Service,Negative
Vintage artwork on the walls gave the room real character,Ambience,Positive
The rice was undercooked and crunchy,Food,Negative
Server split the bill accurately without being asked twice,Service,Positive
Single dim bulb left half the dining room in shadow,Ambience,Negative
Crispy duck confit with a perfectly rendered skin,Food,Positive
Kitchen sent out the wrong dish and never corrected it,Service,Negative
Plants and greenery throughout gave the space a fresh feel,Ambience,Positive
The dessert was overly sweet and one-note,Food,Negative
Waitress was attentive without hovering over our table,Service,Positive
Sticky floors made the dining area feel neglected,Ambience,Negative
House-made pasta with a perfectly al dente bite,Food,Positive
Staff handled our food allergy request with real care,Service,Positive
Faded curtains and chipped paint hurt the overall atmosphere,Ambience,Negative
The guacamole tasted oxidized and watery,Food,Negative
Server recommended a dish that turned out to be the highlight of the night,Service,Positive
Spacious booths gave us plenty of privacy,Ambience,Positive
The clam chowder was thin and lacked any real flavor,Food,Negative
Valet was quick and the car was returned without a scratch,Service,Positive
Background music was far too loud for a quiet dinner,Ambience,Negative
Char-grilled vegetables had a wonderful smoky flavor,Food,Positive
Our reservation was lost and we had to wait without a table,Service,Negative
Soft ambient lighting created a romantic dinner setting,Ambience,Positive
The pancakes were rubbery and tasted of old oil,Food,Negative
Barista crafted a beautifully balanced espresso,Service,Positive
Cramped seating left no room to move between tables,Ambience,Negative
"Lobster bisque was rich, smooth, and perfectly seasoned",Food,Positive
Staff were rude when we asked for a table change,Service,Negative
Large skylights filled the dining room with natural light,Ambience,Positive
The naan was hard and clearly not freshly baked,Food,Negative
Waiter remembered our dietary restrictions from a previous visit,Service,Positive
"Old, dusty ceiling fans were distracting throughout the meal",Ambience,Negative
Perfectly balanced pad thai with fresh herbs and lime,Food,Positive
Took three reminders before our check finally arrived,Service,Negative
Tasteful string lights gave the patio a festive feel,Ambience,Positive
The mashed potatoes were lumpy and cold,Food,Negative
Front-of-house team coordinated seamlessly during the rush,Service,Positive
Uneven flooring made navigating the dining room awkward,Ambience,Negative
Grilled salmon was flaky and cooked to perfection,Food,Positive
Server was condescending when we asked about ingredients,Service,Negative
Antique furnishings added a touch of old-world charm,Ambience,Positive
The fried rice tasted like it was sitting out for hours,Food,Negative
Kitchen accommodated a last-minute substitution without complaint,Service,Positive
Broken air vents made the back of the restaurant freezing,Ambience,Negative
Charcuterie board had an excellent variety of cured meats,Food,Positive
Staff argued among themselves in front of customers,Service,Negative
Warm wood tones throughout gave the space a rustic charm,Ambience,Positive
The onion rings were greasy and oddly flavorless,Food,Negative
Server proactively offered a complimentary appetizer for the wait,Service,Positive
Crowded entryway made it hard to even reach the host stand,Ambience,Negative
Buttery garlic bread served warm and fresh,Food,Positive
Waitress handled a spilled drink calmly and professionally,Service,Positive
Outdated decor made the restaurant feel stuck in the past,Ambience,Negative
The tacos were soggy and falling apart,Food,Negative
Chef adjusted the spice level exactly as we requested,Service,Positive
Tucked-away courtyard seating felt like a hidden gem,Ambience,Positive
"The eggs benedict had a broken, runny hollandaise",Food,Negative
Staff kept apologizing without actually fixing the issue,Service,Negative
Soft linen tablecloths added an elegant touch,Ambience,Positive
Perfectly charred wood-grilled octopus,Food,Positive
Server upsold us aggressively throughout the meal,Service,Negative
Mood lighting changed nicely from lunch to dinner service,Ambience,Positive
"The quiche had a soggy, undercooked crust",Food,Negative
Kitchen staff came out to thank us personally for visiting,Service,Positive
Loud HVAC system hummed constantly throughout dinner,Ambience,Negative
Velvety mushroom risotto with a deep umami flavor,Food,Positive
Took forever to get the check even after we asked twice,Service,Negative
Hand-painted murals gave the dining room a unique personality,Ambience,Positive
The chowder was oddly sweet and unbalanced,Food,Negative
Sommelier paired our wine perfectly with the tasting menu,Service,Positive
Threadbare carpet made the entrance feel neglected,Ambience,Negative
Korean fried chicken was crispy with a perfectly sticky glaze,Food,Positive
Staff was patient and kind with our young children,Service,Positive
Cigarette smoke from the patio drifted into the dining room,Ambience,Negative
The biscuits were dense and tasted undercooked,Food,Negative
Manager personally followed up to make sure we were satisfied,Service,Positive
Elegant chandeliers gave the dining room a refined feel,Ambience,Positive
The ceviche tasted slightly off and overly acidic,Food,Negative
Waiter kept refilling our water without us having to ask,Service,Positive
Construction noise outside made conversation difficult,Ambience,Negative
Smoked brisket was tender with a great bark on the outside,Food,Positive
Staff seemed overwhelmed and visibly stressed during service,Service,Negative
Botanical wallpaper and greenery gave the room a fresh look,Ambience,Positive
The falafel was dry and crumbled apart,Food,Negative
Hostess kept us updated honestly about the wait time,Service,Positive
"Damp, musty smell lingered near the back tables",Ambience,Negative
